Year,Age,Gender,Deaths
2565,19,1,191
2565,20,0,620
2565,20,1,209
2565,21,0,671
2565,21,1,234
2565,22,0,714
2565,22,1,252
2565,23,0,817
2565,23,1,250
2565,24,0,913
2565,24,1,280
2565,25,0,951
2565,25,1,301
2565,26,0,1024
2565,26,1,351
2565,27,0,1049
2565,27,1,382
2565,28,0,1055
2565,28,1,343
2565,29,0,1099
2565,29,1,389
2565,30,0,1197
2565,30,1,404
2565,31,0,1336
2565,31,1,383
2565,32,0,1375
2565,32,1,450
2565,33,0,1352
2565,33,1,454
2565,34,0,1407
2565,34,1,508
2565,35,0,1527
2565,35,1,518
2565,36,0,1674
2565,36,1,558
2565,37,0,1894
2565,37,1,643
2565,38,0,2031
2565,38,1,698
2565,39,0,2266
2565,39,1,790
2565,40,0,2435
2565,40,1,904
2565,41,0,2550
2565,41,1,943
2565,42,0,2973
2565,42,1,1027
2565,43,0,3137
2565,43,1,1083
2565,44,0,3278
2565,44,1,1159
2565,45,0,3477
2565,45,1,1418
2565,46,0,3610
2565,46,1,1388
2565,47,0,3892
2565,47,1,1584
2565,48,0,4045
2565,48,1,1596
2565,49,0,4295
2565,49,1,1691
2565,50,0,4373
2565,50,1,1884
2565,51,0,4683
2565,51,1,2200
2565,52,0,4764
2565,52,1,2094
2565,53,0,5055
2565,53,1,2384
2565,54,0,5312
2565,54,1,2461
2565,55,0,5416
2565,55,1,2599
2565,56,0,5669
2565,56,1,2901
2565,57,0,5767
2565,57,1,3110
2565,58,0,5992
2565,58,1,3118
2565,59,0,5983
2565,59,1,3229
2565,60,0,6391
2565,60,1,3374
2565,61,0,6580
2565,61,1,3607
2565,62,0,6826
2565,62,1,3825
2565,63,0,6601
2565,63,1,3943
2565,64,0,6586
2565,64,1,3861
2565,65,0,6743
2565,65,1,4227
2565,66,0,6870
2565,66,1,4365
2565,67,0,7221
2565,67,1,4841
2565,68,0,6820
2565,68,1,4715
2565,69,0,7250
2565,69,1,5006
2565,70,0,7288
2565,70,1,5288
2565,71,0,7414
2565,71,1,5432
2565,72,0,7513
2565,72,1,5819
2565,73,0,7299
2565,73,1,5877
2565,74,0,7170
2565,74,1,5629
2565,75,0,7030
2565,75,1,5849
2565,76,0,6666
2565,76,1,5940
2565,77,0,6532
2565,77,1,5867
2565,78,0,6822
2565,78,1,6236
2565,79,0,6535
2565,79,1,6318
2565,80,0,7085
2565,80,1,7102
2565,81,0,6747
2565,81,1,6967
2565,82,0,6481
2565,82,1,7445
2565,83,0,6806
2565,83,1,7830
2565,84,0,6408
2565,84,1,7869
2565,85,0,5925
2565,85,1,7684
2565,86,0,5856
2565,86,1,7834
2565,87,0,5242
2565,87,1,7021
2565,88,0,5111
2565,88,1,7142
2565,89,0,4403
2565,89,1,6631
2565,90,0,3936
2565,90,1,6383
2565,91,0,3109
2565,91,1,5536
2565,92,0,2917
2565,92,1,4908
2565,93,0,2399
2565,93,1,4073
2565,94,0,2057
2565,94,1,3723
2565,95,0,1368
2565,95,1,2831
2565,96,0,1045
2565,96,1,2193
2565,97,0,743
2565,97,1,1564
2565,98,0,528
